PLAYER,YEAR,AWARD,RNK
Jalen Brunson,2025,Clutch,1
Nikola Jokic,2025,Clutch,2
Anthony Edwards,2025,Clutch,3
Trae Young,2025,Clutch,4
Stephen Curry,2025,Clutch,5
Darius Garland,2025,Clutch,6
LeBron James,2025,Clutch,7
Shai Gilgeous-Alexander,2025,Clutch,8
Donovan Mitchell,2025,Clutch,9
Kyrie Irving,2025,Clutch,10
Tyrese Maxey,2025,Clutch,10
Jayson Tatum,2025,Clutch,10
De'Aaron Fox,2023,Clutch,1
Jimmy Butler,2023,Clutch,2
DeMar DeRozan,2023,Clutch,3
Jalen Brunson,2023,Clutch,4
Joel Embiid,2023,Clutch,5
Donovan Mitchell,2023,Clutch,6
Shai Gilgeous-Alexander,2023,Clutch,7
Luka Doncic,2023,Clutch,8
Stephen Curry,2023,Clutch,9
Damian Lillard,2023,Clutch,10
Jayson Tatum,2023,Clutch,10
Kyrie Irving,2023,Clutch,12
Nikola Jokic,2023,Clutch,13
Julius Randle,2023,Clutch,14
Stephen Curry,2024,Clutch,1
DeMar DeRozan,2024,Clutch,2
Shai Gilgeous-Alexander,2024,Clutch,3
Nikola Jokic,2024,Clutch,4
Jalen Brunson,2024,Clutch,5
Luka Doncic,2024,Clutch,6
Kyrie Irving,2024,Clutch,7
Anthony Edwards,2024,Clutch,8
Jayson Tatum,2024,Clutch,9
LeBron James,2024,Clutch,10
Damian Lillard,2024,Clutch,11
De'Aaron Fox,2024,Clutch,12
Giannis Antetokounmpo,2024,Clutch,12
Jalen Williams,2024,Clutch,12
Malik Monk,2024,Clutch,12
Alonzo Mourning,2000,DPOY,1
Shaquille O'Neal,2000,DPOY,2
Dikembe Mutombo,2000,DPOY,3
Eddie Jones,2000,DPOY,3
Gary Payton,2000,DPOY,5
Kobe Bryant,2000,DPOY,5
Kevin Garnett,2000,DPOY,7
Anthony Mason,2000,DPOY,8
Bo Outlaw,2000,DPOY,8
Clifford Robinson,2000,DPOY,8
Jason Kidd,2000,DPOY,8
Kendall Gill,2000,DPOY,8
Scottie Pippen,2000,DPOY,8
Evan Mobley,2025,DPOY,1
Dyson Daniels,2025,DPOY,2
Draymond Green,2025,DPOY,3
Luguentz Dort,2025,DPOY,4
Amen Thompson,2025,DPOY,5
Ivica Zubac,2025,DPOY,6
Jaren Jackson Jr,2025,DPOY,7
Giannis Antetokounmpo,2025,DPOY,8
Toumani Camara,2025,DPOY,9
Ban Adebayo,2025,DPOY,10
Shai Gilgeous-Alexander,2025,DPOY,10
Derrick White,2025,DPOY,10
Rudy Gobert,2025,DPOY,13
Sidney Moncrief,1983,DPOY,1
Tree Rollins,1983,DPOY,2
Bobby Jones,1983,DPOY,3
Larry Bird,1983,DPOY,3
Maurice Cheeks,1983,DPOY,3
Michael Cooper,1983,DPOY,3
Sidney Moncrief,1984,DPOY,1
Mark Eaton,1984,DPOY,2
Dennis Johnson,1984,DPOY,3
Bobby Jones,1984,DPOY,4
Maurice Cheeks,1984,DPOY,4
Michael Cooper,1984,DPOY,4
T.R. Dunn,1984,DPOY,7
Rickey Green,1984,DPOY,8
Calvin Natt,1984,DPOY,9
Larry Nance,1984,DPOY,9
Rory Sparrow,1984,DPOY,9
Bill Laimbeer,1984,DPOY,12
Jamaal Wilkes,1984,DPOY,12
Larry Bird,1984,DPOY,12
Lonnie Shelton,1984,DPOY,12
Magic Johnson,1984,DPOY,12
Moses Malone,1984,DPOY,12
Mychal Thompson,1984,DPOY,12
Tree Rollins,1984,DPOY,12
Mark Eaton,1985,DPOY,1
Sidney Moncrief,1985,DPOY,2
Paul Pressey,1985,DPOY,3
Michael Cooper,1985,DPOY,4
Maurice Cheeks,1985,DPOY,5
Dennis Johnson,1985,DPOY,6
Danny Vranes,1985,DPOY,7
Micheal Ray Richardson,1985,DPOY,7
T.R. Dunn,1985,DPOY,7
Alvin Robertson,1986,DPOY,1
Manute Bol,1986,DPOY,2
Sidney Moncrief,1986,DPOY,3
Michael Cooper,1987,DPOY,1
Alvin Robertson,1987,DPOY,2
Mark Eaton,1987,DPOY,3
Manute Bol,1987,DPOY,4
Kevin McHale,1987,DPOY,5
