,,YEAR,PLAYER,NB CODE,POS,BODY FAT %,HAND SIZE,WEIGHT (LBS),HEIGHT,STANDING,WINGSPAN,HEIGHT W/O SHOES,WINGSPAN,STANDING REACH,LANE AGILITY,SHUTTLE RUN,3/4 SPRINT,STANDING VERT,MAX VERT,MAX BENCH
1,2025,2024,Adem Bona,Adem Bona,C,,95,243.2,80.25,108,87.75,6' 8.25'',7' 3.75'',9' 0.00'',11.01,3.01,3.15,35,40,
1,2025,2024,AJ Johnson,AJ Johnson,SG,,72.25,167,76.25,102,80.5,6' 4.25'',6' 8.50'',8' 6.00'',10.76,2.87,3.15,29,38,
1,2025,2024,Ajay Mitchell,Ajay Mitchell,PG,,72.25,197,75.25,101,78.25,6' 3.25'',6' 6.25'',8' 5.00'',11.12,2.95,3.11,28,33.5,
-2024,,2024,Alex Karaban,Alex Karaban,PF,,80.9375,219.2,78.5,106.5,83,6' 6.50'',6' 11.00'',8' 10.50'',11.23,,3.2,22.5,32,
-2024,,2024,Alexandre Sarr,Alexandre Sarr,C,,90,224.2,83.75,110,88.25,6' 11.75'',7' 4.25'',9' 2.00'',11.43,3.23,3.27,30.5,37,
1,2025,2024,Antonio Reeves,Antonio Reeves,SG,,90,186.6,76.5,100.5,80.25,6' 4.50'',6' 8.25'',8' 4.50'',11.44,3.16,3.14,29,36,
1,2025,2024,Ariel Hukporti,Ariel Hukporti,C,,94.8125,246.2,82.75,111,86.5,6' 10.75'',7' 2.50'',9' 3.00'',,,,,,
1,2025,2024,Baylor Scheierman,Baylor Scheierman,SF,,90.1875,201.6,78.25,102.5,80.25,6' 6.25'',6' 8.25'',8' 6.50'',10.89,2.94,3.09,27.5,32,
1,2025,2024,Bobi Klintman,Bobi Klintman,PF,,87.5,212.2,80.75,106.5,83,6' 8.75'',6' 11.00'',8' 10.50'',11.49,3.21,3.23,26.5,32.5,
-2024,,2024,Boogie Ellis,Boogie Ellis,PG-SG,,85.5,185,72.75,98,79,6' 0.75'',6' 7.00'',8' 2.00'',11.98,3.33,3.19,31.5,39.5,
1,2025,2024,Bronny James,Bronny James,SG,,80.75,210.4,73.5,98.5,79.25,6' 1.50'',6' 7.25'',8' 2.50'',10.96,3.02,3.09,32,40.5,
1,2025,2024,Cam Christie,Cam Christie,SG,,64,190.4,76.5,101.5,80,6' 4.50'',6' 8.00'',8' 5.50'',11.07,2.95,3.07,32.5,35.5,
1,2025,2024,Cam Spencer,Cam Spencer,SG,,82.875,201.8,75,98.5,77,6' 3.00'',6' 5.00'',8' 2.50'',11.07,3,3.35,23,30.5,
1,2025,2024,Carlton Carrington,Carlton Carrington,PG,,78.625,194.8,75.75,99,80,6' 3.75'',6' 8.00'',8' 3.00'',11.28,2.99,3.16,28.5,36.5,
1,2025,2024,Cody Williams,Cody Williams,SF,,74.25,178.4,78.5,103,85,6' 6.50'',7' 1.00'',8' 7.00'',11.17,2.93,3.06,31,35.5,
-2024,,2024,Coleman Hawkins,Coleman Hawkins,PF,,76.5625,215.2,80.25,107,84,6' 8.25'',7' 0.00'',8' 11.00'',12.05,3.21,3.3,24,29.5,
1,2025,2024,Dalton Knecht,Dalton Knecht,SF,,80.75,212.2,77.25,103.5,81,6' 5.25'',6' 9.00'',8' 7.50'',10.56,2.79,3.07,31,39,
-2024,,2024,DaRon Holmes II,DaRon Holmes II,C,,78.75,236.2,80.75,108,85,6' 8.75'',7' 1.00'',9' 0.00'',11.2,3.03,3.25,27.5,34,
2,2026,2024,David Jones,David Jones,SF,,80.75,211.2,75.5,100,78.75,6' 3.50'',6' 6.75'',8' 4.00'',11.08,3.3,3.2,28,34.5,
1,2025,2024,Devin Carter,Devin Carter,SG,,78.75,193,74.25,98,80.75,6' 2.25'',6' 8.75'',8' 2.00'',10.63,2.9,2.87,35,42,
1,2025,2024,Dillon Jones,Dillon Jones,SF,,83.25,236.8,76.5,100.5,83,6' 4.50'',6' 11.00'',8' 4.50'',11.08,2.82,3.25,26.5,33.5,
1,2025,2024,Donovan Clingan,Donovan Clingan,C,,102.5,282,85.75,115,90.75,7' 1.75'',7' 6.75'',9' 7.00'',12.06,3.38,3.46,25.5,29,
1,2025,2024,Enrique Freeman,Enrique Freeman,PF,,87.5,212,79.25,108,86,6' 7.25'',7' 2.00'',9' 0.00'',10.99,3.04,3.26,30.5,35,
1,2025,2024,Harrison Ingram,Harrison Ingram,SF,,92.25,233.6,77.25,102.5,84.25,6' 5.25'',7' 0.25'',8' 6.50'',11.36,2.94,3.17,29,35,
2,2026,2024,Hunter Sallis,Hunter Sallis,SG,,76,179.4,75.5,100.5,81.75,6' 3.50'',6' 9.75'',8' 4.50'',10.82,3.16,3.11,29.5,36,
1,2025,2024,Isaac Jones,Isaac Jones,C,,94.8125,235,79.75,108,87,6' 7.75'',7' 3.00'',9' 0.00'',11.49,3,3.38,29,35,
1,2025,2024,Isaiah Collier,Isaiah Collier,PG,,76.5,204.6,74.5,97.5,76.75,6' 2.50'',6' 4.75'',8' 1.50'',10.77,2.9,3.04,30,34,
,,2024,Izan Almansa,Izan Almansa,C,,85.5625,219.6,81.25,110,85,6' 9.25'',7' 1.00'',9' 2.00'',10.94,2.96,3.11,28,35,
1,2025,2024,Ja'Kobe Walter,Ja'Kobe Walter,SG,,85.3125,197.6,76.25,102.5,82,6' 4.25'',6' 10.00'',8' 6.50'',11,2.92,3.04,30.5,38.5,
1,2025,2024,Jalen Bridges,Jalen Bridges,SF,,90,213.4,78.75,105,82,6' 6.75'',6' 10.00'',8' 9.00'',11.14,3,3.16,25,32,
1,2025,2024,Jamal Shead,Jamal Shead,PG,,72.1875,200.8,72.25,96,75,6' 0.25'',6' 3.00'',8' 0.00'',10.87,2.87,2.94,30,37.5,
2,2026,2024,Jamir Watkins,Jamir Watkins,SF,,85.5,211.6,77,104,82.75,6' 5.00'',6' 10.75'',8' 8.00'',10.64,3.16,3.01,30.5,35.5,
1,2025,2024,Jared McCain,Jared McCain,SG,,78.375,203.2,74,98,75.5,6' 2.00'',6' 3.50'',8' 2.00'',10.87,3.07,3.23,25.5,33,
-2024,,2024,Jaxson Robinson,Jaxson Robinson,SG,,85.5,188.6,76.75,103,83.25,6' 4.75'',6' 11.25'',8' 7.00'',11.39,3.06,3.17,29.5,34,
1,2025,2024,Jaylen Wells,Jaylen Wells,SF,,76.3125,206.2,78.5,103.5,79.25,6' 6.50'',6' 7.25'',8' 7.50'',11.28,3.03,3.08,27.5,36,
1,2025,2024,Jaylon Tyson,Jaylon Tyson,SF,,78.375,218.2,77.5,102.5,80,6' 5.50'',6' 8.00'',8' 6.50'',11.13,3.06,3.12,29.5,36.5,
1,2025,2024,Jesse Edwards,Jesse Edwards,C,,92.5,236,83.5,111,89,6' 11.50'',7' 5.00'',9' 3.00'',11.24,3.23,3.33,30.5,35.5,
1,2025,2024,Johnny Furphy,Johnny Furphy,SF,,76,188.8,79.5,104.5,80,6' 7.50'',6' 8.00'',8' 8.50'',11.15,3.17,3.2,25.5,32,
1,2025,2024,Jonathan Mogbo,Jonathan Mogbo,PF,,76.5625,217.2,78.25,108.5,86,6' 6.25'',7' 2.00'',9' 0.50'',11.14,3.07,3.02,31.5,37.5,
-2024,,2024,JT Toppin,JT Toppin,PF,,85.5625,221,79,106,84.5,6' 7.00'',7' 0.50'',8' 10.00'',11.12,3.01,3.27,28.5,34,
1,2025,2024,Justin Edwards,Justin Edwards,SF,,76.5625,209.4,78,102.5,82,6' 6.00'',6' 10.00'',8' 6.50'',12.07,3.22,3.18,28,32.5,
1,2025,2024,Kel'el Ware,Kel'el Ware,C,,97.375,230,83.75,112.5,88.5,6' 11.75'',7' 4.50'',9' 4.50'',10.97,2.91,3.29,32.5,36,
1,2025,2024,Keshad Johnson,Keshad Johnson,PF,,99.4375,224,78.25,103,82.25,6' 6.25'',6' 10.25'',8' 7.00'',11.38,3.02,3.03,31.5,42,
1,2025,2024,Kevin McCullar,Kevin McCullar Jr.,SF,,83.125,205.8,77.25,103,81,6' 5.25'',6' 9.00'',8' 7.00'',,,,,,
1,2025,2024,KJ Simpson,KJ Simpson,PG,,76.3125,187,72.25,84.5,76.5,6' 0.25'',6' 4.50'',7' 9.50'',10.49,2.98,3.24,32.5,40.5,
1,2025,2024,Kyle Filipowski,Kyle Filipowski,PF,,83.125,229.8,82.75,107,82.5,6' 10.75'',6' 10.50'',8' 11.00'',11.43,2.93,3.19,27,32.5,
1,2025,2024,Kyshawn George,Kyshawn George,SF,,92.25,208.8,79,105,82.25,6' 7.00'',6' 10.25'',8' 9.00'',11.9,2.91,3.32,27,32,
2,2026,2024,Mark Sears,Mark Sears,PG,,68,192.4,70.25,92,74,5' 10.25'',6' 2.00'',7' 8.00'',11.96,3.26,3.33,32,39,
1,2025,2024,Matas Buzelis,Matas Buzelis,SF,,78.625,197,80.75,105.5,82,6' 8.75'',6' 10.00'',8' 9.50'',10.73,2.9,3.09,31,38,
-2024,,2024,Michael Ajayi,Michael Ajayi,SF,,92.625,227.8,77.75,106.5,84.75,6' 5.75'',7' 0.75'',8' 10.50'',11.77,3.17,3.21,27,34.5,
1,2025,2024,N'Faly Dante,N'Faly Dante,C,,92.5,260.2,82,111,90,6' 10.00'',7' 6.00'',9' 3.00'',11.55,3.04,3.23,27,33,
1,2025,2024,Nae'Qwan Tomlin,Nae'Qwan Tomlin,PF,,90,205,80.25,109,86.5,6' 8.25'',7' 2.50'',9' 1.00'',11.63,3.54,3.43,27.5,32.5,
-2024,,2024,Nikola Djurisic,Nikola Djurisic,SF,,85,208.8,79,102.5,80,6' 7.00'',6' 8.00'',8' 6.50'',10.63,2.92,3.12,27.5,34.5,
2,2026,2024,Nique Clifford,Nique Clifford,SF,,72,198.6,77,102,80,6' 5.00'',6' 8.00'',8' 6.00'',10.95,3.1,3.08,30,37,
1,2025,2024,Oso Ighodaro,Oso Ighodaro,C,,90,222,81.5,104.5,83,6' 9.50'',6' 11.00'',8' 8.50'',11.25,3.12,3.09,35,39.5,
-2024,,2024,Payton Sandfort,Payton Sandfort,SF,,76.5,212,78.25,104,80,6' 6.25'',6' 8.00'',8' 8.00'',11.57,2.84,3.43,22,28,
1,2025,2024,Pelle Larsson,Pelle Larsson,SG,,89.6875,212.4,77.25,102,79.5,6' 5.25'',6' 7.50'',8' 6.00'',11.15,2.91,3.06,30.5,38,
1,2025,2024,PJ Hall,PJ Hall,C,,87.75,239.6,80.25,103.5,85.5,6' 8.25'',7' 1.50'',8' 7.50'',11.76,3.01,3.35,32.5,39.5,
1,2025,2024,Quinten Post,Quinten Post,C,,92.5,244.4,84,112,86.5,7' 0.00'',7' 2.50'',9' 4.00'',11.48,3.03,3.4,24,27,
1,2025,2024,Reece Beekman,Reece Beekman,PG,,76.5,196.4,73.25,100,78.5,6' 1.25'',6' 6.50'',8' 4.00'',10.86,3.08,2.94,30,36.5,
1,2025,2024,Reed Sheppard,Reed Sheppard,PG,,69.75,181.6,73.75,84.5,75.25,6' 1.75'',6' 3.25'',7' 9.50'',10.96,3.03,3.08,32.5,42,
-2024,,2024,Robert Dillingham,Robert Dillingham,PG,,66,164.2,73,95,75,6' 1.00'',6' 3.00'',7' 11.00'',,,,,,
-2024,,2024,Ron Holland II,Ron Holland II,SF,,78.75,196.8,78.5,104,82.75,6' 6.50'',6' 10.75'',8' 8.00'',11.1,2.91,3.1,30,38,
1,2025,2024,Ryan Dunn,Ryan Dunn,PF,,87.75,213.6,78.25,103,85.5,6' 6.25'',7' 1.50'',8' 7.00'',10.99,2.88,3.12,32,38.5,
1,2025,2024,Stephon Castle,Stephon Castle,SG,,76.5625,210,77.5,102,81,6' 5.50'',6' 9.00'',8' 6.00'',10.93,2.91,3.19,28.5,37,
1,2025,2024,Terrence Shannon,Terrence Shannon Jr.,SF,,74.375,219.4,77.75,100,80.75,6' 5.75'',6' 8.75'',8' 4.00'',,,,,,
1,2025,2024,Trentyn Flowers,Trentyn Flowers,SF,,83.125,201.4,78.5,100.5,80.25,6' 6.50'',6' 8.25'',8' 4.50'',11.01,3,3.13,34.5,42,
-2024,,2024,Trevon Brazile,Trevon Brazile,PF,,92.25,215,81.25,108.5,87.75,6' 9.25'',7' 3.75'',9' 0.50'',11.15,3.01,3.09,33,41,
1,2025,2024,Trey Alexander,Trey Alexander,SG,,87.5,187,75.25,101.5,82.5,6' 3.25'',6' 10.50'',8' 5.50'',11.37,2.92,3.21,26.5,32,
1,2025,2024,Tristan Da Silva,Tristan Da Silva,PF,,85.5,216.8,80.25,104.5,82.25,6' 8.25'',6' 10.25'',8' 8.50'',10.81,2.82,3.09,28.5,35.5,
1,2025,2024,Tristen Newton,Tristen Newton,PG,,76.5,191.8,75.25,100,78.75,6' 3.25'',6' 6.75'',8' 4.00'',10.96,2.84,3.24,25,32.5,
1,2025,2024,Tyler Kolek,Tyler Kolek,PG,,78.375,196.6,73.25,95,74.75,6' 1.25'',6' 2.75'',7' 11.00'',10.97,3.08,3.27,27,34,
1,2025,2024,Tyler Smith,Tyler Smith,PF,,76.5,223.8,81,105,85,6' 9.00'',7' 1.00'',8' 9.00'',10.74,2.99,3.28,32,38,10
-2024,,2024,Tyon Grant-Foster,Tyon Grant-Foster,SF,,80.9375,215.2,77.75,104,83.75,6' 5.75'',6' 11.75'',8' 8.00'',,,,,,
1,2025,2024,Ulrich Chomche,Ulrich Chomche,C,,94.8125,232.4,82.25,109,88,6' 10.25'',7' 4.00'',9' 1.00'',11.74,2.84,3.1,29,35.5,
1,2025,2024,Yves Missi,Yves Missi,C,,95,229.4,82.75,109.5,86,6' 10.75'',7' 2.00'',9' 1.50'',11.45,3.12,3.12,31,38.5,
1,2025,2024,Zach Edey,Zach Edey,C,,107.5,299,87.75,115,94.75,7' 3.75'',7' 10.75'',9' 7.00'',11.19,3.01,3.42,26,31.5,
2,2025,2023,Adam Flagler,Adam Flagler,PG,,74,191.8,73,97,76.5,6' 1.00'',6' 4.50'',8' 1.00'',10.96,,3.24,31,36,
2,2025,2023,Adama Sanogo,Adama Sanogo,C,,97.5,257.8,79.25,108.5,86.75,6' 7.25'',7' 2.75'',9' 0.50'',11.5,,3.31,28.5,31,
2,2025,2023,Adem Bona,Adem Bona,C,,92.5,243.4,80.25,110.5,84.25,6' 8.25'',7' 0.25'',9' 2.50'',,,,,,
1,2024,2023,Amari Bailey,Amari Bailey,SG,,74,190.8,75.25,103.5,79,6' 3.25'',6' 7.00'',8' 7.50'',11.34,,3.19,28.5,35,
2,2025,2023,Amen Thompson,Amen Thompson,SG,,72.25,214.2,77.75,103.5,84,6' 5.75'',7' 0.00'',8' 7.50'',,,,,,
2,2025,2023,Andre Jackson,Andre Jackson Jr.,SF,,78.375,198.4,77.5,103,81.75,6' 5.50'',6' 9.75'',8' 7.00'',10.83,,3.14,30.5,39.5,
2,2025,2023,Anthony Black,Anthony Black,PG,,78.375,210,77.75,102.5,79.5,6' 5.75'',6' 7.50'',8' 6.50'',11.04,,3.35,32,39,
-2023,,2023,Arthur Kaluma,Arthur Kaluma,PF,,85,221.8,78.25,103.5,84.5,6' 6.25'',7' 0.50'',8' 7.50'',11.35,3.25,3.44,32.5,34.5,
2,2025,2023,Ausar Thompson,Ausar Thompson,SG,,80.9375,218.2,77.75,104,84,6' 5.75'',7' 0.00'',8' 8.00'',,,,,,
-2023,,2023,Azuolas Tubelis,Azuolas Tubelis,PF,,94.5,234.8,80.75,108,83,6' 8.75'',6' 11.00'',9' 0.00'',11.17,,3.5,23.5,30.5,
2,2025,2023,Ben Sheppard,Ben Sheppard,SG,,80.75,194.6,77.25,100,79.75,6' 5.25'',6' 7.75'',8' 4.00'',10.88,2.94,3.17,29.5,35.5,
