Full Name,First Name,Last Name,2K00,2K01,2K02,2K03,2K04,2K05,2K06,2K07,2K08,2K09,2K10,2K11,2K12,2K13,2K14,2K15,2K16,2K17,2K18,2K19,2K20,2K21,2K22,2K23,2k24,2k25,2k26
Nikola Jokic,Nikola,Jokic,,,,,,,,,,,,,,,,,68,79,88,89,90,90,95,96,98,97,98
Shai Gilgeous-Alexander,Shai,Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,73,79,84,86,87,93,96,98
Giannis Antetokounmpo,Giannis,Antetokounmpo,,,,,,,,,,,,,,,60,74,81,83,91,94,96,97,96,97,96,97,97
Anthony Edwards,Anthony,Edwards,,,,,,,,,,,,,,,,,,,,,,77,81,86,88,93,95
Luka Doncic,Luka,Doncic,,,,,,,,,,,,,,,,,,,,79,87,94,94,95,95,97,95
Jayson Tatum,Jayson,Tatum,,,,,,,,,,,,,,,,,,,77,87,85,87,90,93,95,95,94
LeBron James,LeBron,James,,,,,78,90,97,97,97,98,96,97,98,98,99,98,94,96,97,98,97,97,96,96,96,95,94
Stephen Curry,Stephen,Curry,,,,,,,,,,,69,80,80,82,88,89,93,94,94,95,95,95,96,96,96,95,94
Victor Wembanyama,Victor,Wembanyama,,,,,,,,,,,,,,,,,,,,,,,,,84,91,94
Anthony Davis,Anthony,Davis,,,,,,,,,,,,,,79,79,88,92,90,94,94,94,95,93,90,93,94,93
Donovan Mitchell,Donovan,Mitchell,,,,,,,,,,,,,,,,,,,75,87,88,88,88,88,92,92,93
Jalen Brunson,Jalen,Brunson,,,,,,,,,,,,,,,,,,,,70,76,77,78,83,88,93,93
Kevin Durant,Kevin,Durant,,,,,,,,,80,84,82,91,92,94,95,95,91,93,96,97,96,95,96,96,96,94,93
Tyrese Haliburton,Tyrese,Haliburton,,,,,,,,,,,,,,,,,,,,,,74,81,84,88,90,93
Cade Cunningham,Cade,Cunningham,,,,,,,,,,,,,,,,,,,,,,,80,84,84,86,92
Joel Embiid,Joel,Embiid,,,,,,,,,,,,,,,,77,76,77,86,90,91,91,95,96,96,96,92
Karl-Anthony Towns,Karl-Anthony,Towns,,,,,,,,,,,,,,,,,78,88,90,91,89,90,87,89,85,88,92
Kawhi Leonard,Kawhi,Leonard,,,,,,,,,,,,,72,76,80,85,87,93,95,94,97,96,95,94,94,92,92
Devin Booker,Devin,Booker,,,,,,,,,,,,,,,,,72,78,85,87,86,87,90,91,94,93,91
Ja Morant,Ja,Morant,,,,,,,,,,,,,,,,,,,,,79,85,85,93,92,90,91
