CODE,RG CODE,NB CODE,PLAYER,YEAR,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,,PTS / G,REB / G,AST / G,STL / G,BLK / G,TOV / G,FG%,3P%,FT%,,RESULT
A.C. Green LAL 1986,A.C. Green,,A.C. Green,1986,LAL,9,106,22,9,17,0.529,0,0,0,4,9,0.444,3,13,16,0,1,3,4,13,,2.44,1.78,0.00,0.11,0.33,0.44,0.53,0.00,0.44,"1,000.00",Conf Finalist
A.C. Green LAL 1987,A.C. Green,,A.C. Green,1987,LAL,18,505,207,71,130,0.546,0,0,0,65,87,0.747,54,88,142,13,9,8,17,47,,11.50,7.89,0.72,0.50,0.44,0.94,0.55,0.00,0.75,"100,000.00",Champion
A.C. Green LAL 1988,A.C. Green,,A.C. Green,1988,LAL,24,726,239,92,169,0.544,0,0,0,55,73,0.753,57,118,175,20,11,12,26,61,,9.96,7.29,0.83,0.46,0.50,1.08,0.54,0.00,0.75,"100,000.00",Champion
A.C. Green LAL 1989,A.C. Green,,A.C. Green,1989,LAL,15,502,152,47,114,0.412,0,3,0,58,76,0.763,38,99,137,18,16,6,23,37,,10.13,9.13,1.20,1.07,0.40,1.53,0.41,0.00,0.76,"10,000.00",Finalist
A.C. Green LAL 1990,A.C. Green,,A.C. Green,1990,LAL,9,252,106,41,79,0.519,0,0,0,24,32,0.75,34,47,81,9,5,4,14,22,,11.78,9.00,1.00,0.56,0.44,1.56,0.52,0.00,0.75,100.00,Conf Semis
A.C. Green LAL 1991,A.C. Green,,A.C. Green,1991,LAL,19,400,124,41,97,0.423,4,8,0.5,38,54,0.704,46,56,102,9,12,3,19,36,,6.53,5.37,0.47,0.63,0.16,1.00,0.42,0.50,0.70,"10,000.00",Finalist
A.C. Green LAL 1992,A.C. Green,,A.C. Green,1992,LAL,4,153,51,16,39,0.41,0,0,0,19,23,0.826,15,21,36,7,7,0,5,10,,12.75,9.00,1.75,1.75,0.00,1.25,0.41,0.00,0.83,10.00,First Round
A.C. Green LAL 1993,A.C. Green,,A.C. Green,1993,LAL,5,220,49,18,42,0.429,0,5,0,13,21,0.619,26,47,73,13,7,3,9,14,,9.80,14.60,2.60,1.40,0.60,1.80,0.43,0.00,0.62,10.00,First Round
A.C. Green PHX 1994,A.C. Green,,A.C. Green,1994,PHX,10,350,125,40,83,0.482,7,17,0.412,38,62,0.613,29,55,84,13,10,2,7,22,,12.50,8.40,1.30,1.00,0.20,0.70,0.48,0.41,0.61,100.00,Conf Semis
A.C. Green PHX 1995,A.C. Green,,A.C. Green,1995,PHX,10,368,128,36,78,0.462,1,12,0.083,55,63,0.873,38,82,120,13,6,2,10,22,,12.80,12.00,1.30,0.60,0.20,1.00,0.46,0.08,0.87,100.00,Conf Semis
A.C. Green PHX 1996,A.C. Green,,A.C. Green,1996,PHX,4,87,19,6,17,0.353,0,3,0,7,8,0.875,6,12,18,2,1,0,2,7,,4.75,4.50,0.50,0.25,0.00,0.50,0.35,0.00,0.88,10.00,First Round
A.C. Green LAL 2000,A.C. Green,,A.C. Green,2000,LAL,23,429,90,37,90,0.411,0,0,0,16,23,0.696,43,53,96,13,14,3,9,44,,3.91,4.17,0.57,0.61,0.13,0.39,0.41,0.00,0.70,"100,000.00",Champion
A.C. Green MIA 2001,A.C. Green,,A.C. Green,2001,MIA,3,21,3,1,3,0.333,0,0,0,1,1,1,1,3,4,2,1,0,1,4,,1.00,1.33,0.67,0.33,0.00,0.33,0.33,0.00,1.00,10.00,First Round
Aaron Brooks HOU 2008,Aaron Brooks,,Aaron Brooks,2008,HOU,6,49.7,25,8,25,0.32,0,10,0,9,11,0.818,0,6,6,3,0,0,3,11,,4.17,1.00,0.50,0.00,0.00,0.50,0.32,0.00,0.82,10.00,First Round
Aaron Brooks HOU 2009,Aaron Brooks,,Aaron Brooks,2009,HOU,13,443.7,218,77,170,0.453,27,64,0.422,37,46,0.804,4,30,34,44,5,3,29,29,,16.77,2.62,3.38,0.38,0.23,2.23,0.45,0.42,0.80,100.00,Conf Semis
Aaron Brooks HOU 2013,Aaron Brooks,,Aaron Brooks,2013,HOU,6,66.9,30,13,34,0.382,1,9,0.111,3,5,0.6,3,6,9,11,1,1,6,3,,5.00,1.50,1.83,0.17,0.17,1.00,0.38,0.11,0.60,10.00,First Round
