NAME,W,L,,,NAME,W,L,% W,,NAME,TOT,W,L,% W
Karl Malone,19,19,50.00%,,Randy Brown,12,0,100.00%,,Larry Siegfried,15,14,1,93.33%
John Stockton,17,19,47.22%,,Patrick McCaw,9,0,100.00%,,Bill Russell,30,27,3,90.00%
Clifford Robinson,14,17,45.16%,,Gene Conley,6,0,100.00%,,K.C. Jones,20,18,2,90.00%
James Harden,15,16,48.39%,,Herm Schaefer,7,0,100.00%,,Jim Pollard,20,18,2,90.00%
Jason Kidd,16,16,50.00%,,Scott Burrell,5,0,100.00%,,Tommy Heinsohn,19,17,2,89.47%
Terry Porter,11,16,40.74%,,Chris Jent,4,0,100.00%,,George Mikan,19,17,2,89.47%
Sam Perkins,18,15,54.55%,,Malcolm Miller,5,0,100.00%,,Sam Jones,28,25,3,89.29%
Chris Paul,12,15,44.44%,,Juan Toscano-Anderson,4,0,100.00%,,Stacey King,16,14,2,87.50%
Reggie Miller,14,15,48.28%,,Ajay Mitchell,4,0,100.00%,,Satch Sanders,26,22,4,84.62%
Charles Oakley,14,15,48.28%,,Dillon Jones,4,0,100.00%,,Frank Ramsey,19,16,3,84.21%
Al Horford,21,15,58.33%,,Zeljko Rebraca,4,0,100.00%,,Shaun Livingston,24,20,4,83.33%
Gary Payton,15,14,51.72%,,Joe McNamee,3,0,100.00%,,Mitch Kupchak,18,15,3,83.33%
Dirk Nowitzki,13,14,48.15%,,Gene Guarilia,4,0,100.00%,,Dennis Rodman,35,29,6,82.86%
Mark Jackson,12,14,46.15%,,Ron Bonham,4,0,100.00%,,Michael Cooper,35,29,6,82.86%
Clyde Drexler,16,14,53.33%,,Robin Jones,4,0,100.00%,,Klay Thompson,29,24,5,82.76%
Vlade Divac,11,14,44.00%,,Dickey Simpkins,4,0,100.00%,,Kurt Rambis,29,24,5,82.76%
LeBron James,41,14,74.55%,,Elijah Bryant,4,0,100.00%,,Greg Kite,17,14,3,82.35%
Jerome Kersey,15,14,51.72%,,Oshae Brissett,4,0,100.00%,,John Salley,28,23,5,82.14%
