Player,Brand,# of shoes,First year,Last year
LeBron James,Nike,41,2003,2025
Michael Jordan ,Jordan,40,1984,2025
Kobe Bryant,"adidas (prior), Nike",35,1997,2021
Kevin Durant,Nike,26,2009,2023
Dwyane Wade,"Li-Ning, Jordan, Converse (prior)",21,2005,2024
Allen Iverson,Reebok,18,1996,2022
Derrick Rose,adidas,16,2010,2022
Kevin Garnett,"Anta, adidas, And1, Nike (prior)",15,1998,2016
Carmelo Anthony,Jordan,13,2004,2017
Chris Paul,Jordan,13,2008,2020
Stephen Curry,Under Armour,12,2014,2024
Shaquille O'Neal,"Reebok, Li-Ning",12,1993,2004
Shane Battier,"Peak, Oakley (prior)",11,2002,2014
Kyrie Irving,Nike (prior); ANTA,10,2014,2024
Klay Thompson,Anta,10,2015,2024
Damian Lillard,adidas,9,2015,2024
Dwight Howard,"Peak, adidas (prior)",9,2010,2017
James Harden,adidas,8,2016,2024
Metta World Peace,"Panda's Friend, Peak, Ball'N, Protege, K1X, LA Gear",8,2004,2011
Charles Barkley,Nike,8,1993,1998
Tony Parker,Peak,7,2014,2020
Scottie Pippen,Nike,7,1996,2015
Gary Payton,Nike,7,1997,2002
Tim Duncan,"adidas, Nike (prior)",7,1998,2007
Grant Hill,Fila,7,1995,2001
Clyde Frazier,Puma,7,1971,1976
Vince Carter,"Nike, Puma (prior)",7,1999,2006
LaMelo Ball,"Puma, BBB (prior)",6,2017,2025
Paul George,Nike,6,2017,2022
Russell Westbrook,Jordan,6,2018,2023
Giannis Antetokounmpo,Nike,6,2019,2024
Rajon Rondo,Anta,6,2014,2019
Hakeem Olajuwon,"Etonic, Spalding (prior), LA Gear (prior)",6,1984,2014
Bob Cousy,"Randolph Manufacturing, PF",6,1960,1964
Gordon Hayward,Anta,5,2020,2024
Langston Galloway,"ETHICS, Q4 (prior)",5,2018,2022
John Wall,"adidas, Reebok (prior)",5,2010,2015
Chris Webber,"Dada Supreme, Fila, Nike (prior)",5,1995,2002
Dennis Rodman,"Converse, Nike (prior)",5,1996,1999
Shawn Kemp,Reebok,5,1994,1998
Patrick Ewing,"Ewing Athletics, adidas",5,1986,1993
Luka Doncic,Jordan,4,2022,2025
Jayson Tatum,Jordan,4,2023,2025
Zion Williamson,Jordan,4,2021,2025
Kawhi Leonard,New Balance,4,2020,2023
Spencer Dinwiddie,"361 Degrees, K8RIOS (prior)",4,2018,2022
Julius Erving,Converse,4,1976,2011
Kareem Abdul-Jabbar,"LA Gear, adidas",4,1977,2001
Xavier McDaniel,"Xanthus, Spot-Bilt (prior)",4,1987,1995
Austin Reaves,Rigorer,3,2023,2025
Ja Morant,Nike,3,2023,2025
CJ McCollum,Li-Ning,3,2022,2024
Trae Young,adidas,3,2021,2023
Lonzo Ball,BBB,3,2017,2019
Jamal Crawford,Brandblack,3,2014,2016
Baron Davis,Li-Ning,3,2010,2011
Jason Kidd,"Peak, Nike (prior)",3,1997,2008
Latrell Sprewell,"Dada Supreme, And1, Converse (prior)",3,1994,2003
Jerry Stackhouse,Fila,3,1996,1999
Karl Malone,"Apex, LA Gear (prior)",3,1991,1997
Magic Johnson,"Converse, MVP",3,1986,1996
Anthony Edwards,adidas,2,2023,2025
Andrew Wiggins,Peak,2,2023,2023
Jimmy Butler,Li-Ning,2,2022,2023
Brandon Jennings,Under Armour,2,2010,2011
Kevin Love,361,2,2011,2012
Gilbert Arenas,adidas,2,2006,2007
Steve Francis,Reebok,2,2001,2002
Ben Wallace,"And1, Starbury (prior)",2,2003,2007
Eddie Jones,Jordan,2,1999,2000
Antoine Walker,adidas,2,1998,1999
David Robinson,Nike,2,1979,1999
Vin Baker,Jordan,2,1998,1999
Alonzo Mourning,Nike,2,1997,1998
Stephon Marbury,And1,2,1996,1997
Isiah Thomas,"Asics, Puma (prior)",2,1989,1990
James Worthy,New Balance,2,1986,1986
Earl Monroe,"Jordache, PONY",2,1980,1981
Cade Cunningham,Nike,1,2026,2026
Devin Booker,Nike,1,2024,2024
Scoot Henderson,Puma,1,2023,2023
Joel Embiid,Under Armour,1,2020,2020
Matthew Dellavedova,Peak,1,2017,2017
Monta Ellis,And1,1,2011,2011
Luis Scola,Anta,1,2007,2007
Larry Bird,Converse,1,1986,1986
John Salley,Osaga,1,1990,1990
Drazen Petrovic,Kronos,1,1986,1986
Spud Webb,PONY,1,1985,1985
Ralph Sampson,Puma,1,1984,1984
LaPhonso Ellis,PONY,1,1985,1985
Dominique Wilkins,Brooks,1,1983,1983
David Thompson,PONY,1,1979,1979
Bob McAdoo,PONY,1,1976,1976
Willis Reed,Voit,1,1970,1970
